age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit,was_previously_contacted,age_band,has_any_loan,call_intensity,pdays_bucket,month_index,month_sin,month_cos,balance_per_age
59,admin.,married,secondary,no,2343,1,0,unknown,5,may,1042,1,-1,0,unknown,yes,0,50-64,1,1.0,never,5,0.49999999999999994,-0.8660254037844387,39.71186440677966
56,admin.,married,secondary,no,45,0,0,unknown,5,may,1467,1,-1,0,unknown,yes,0,50-64,0,1.0,never,5,0.49999999999999994,-0.8660254037844387,0.8035714285714286
41,technician,married,secondary,no,1270,1,0,unknown,5,may,1389,1,-1,0,unknown,yes,0,35-49,1,1.0,never,5,0.49999999999999994,-0.8660254037844387,30.975609756097562
55,services,married,secondary,no,2476,1,0,unknown,5,may,579,1,-1,0,unknown,yes,0,50-64,1,1.0,never,5,0.49999999999999994,-0.8660254037844387,45.018181818181816
54,admin.,married,tertiary,no,184,0,0,unknown,5,may,673,2,-1,0,unknown,yes,0,50-64,0,2.0,never,5,0.49999999999999994,-0.8660254037844387,3.4074074074074074
42,management,single,tertiary,no,0,1,1,unknown,5,may,562,2,-1,0,unknown,yes,0,35-49,1,2.0,never,5,0.49999999999999994,-0.8660254037844387,0.0
56,management,married,tertiary,no,830,1,1,unknown,6,may,1201,1,-1,0,unknown,yes,0,50-64,1,1.0,never,5,0.49999999999999994,-0.8660254037844387,14.821428571428571
60,retired,divorced,secondary,no,545,1,0,unknown,6,may,1030,1,-1,0,unknown,yes,0,50-64,1,1.0,never,5,0.49999999999999994,-0.8660254037844387,9.083333333333334
37,technician,married,secondary,no,1,1,0,unknown,6,may,608,1,-1,0,unknown,yes,0,35-49,1,1.0,never,5,0.49999999999999994,-0.8660254037844387,0.02702702702702703
28,services,single,secondary,no,5090,1,0,unknown,6,may,1297,3,-1,0,unknown,yes,0,25-34,1,3.0,never,5,0.49999999999999994,-0.8660254037844387,181.78571428571428
